student_id,minutes_watched,paid_in_q2
9101,1.02,0
4685,366.12,0
1845,9.45,0
23287,0.47,0
5704,0.1,0
7282,6.72,0
2688,70.63,0
1424,0.07,0
4112,47.85,0
389,0.15,0
1866,0.08,0
5058,1.27,0
2863,2.58,0
25494,33.18,0
4566,4.18,0
1437,47.1,0
12820,116.7,0
3297,3.38,0
10390,1.05,0
5683,20.3,0
13132,34.1,0
4298,3.77,0
3522,1.37,0
3074,1.12,0
15472,240.02,0
1357,0.12,0
10218,0.08,0
5221,23.65,0
1688,11.37,0
2188,11.88,0
4231,59.12,0
2266,10.27,0
6110,19.62,0
4907,4.62,0
1397,27.83,0
875,46.77,0
6801,22.25,0
6174,5.67,0
5567,0.45,0
3774,728.3,0
4439,0.37,0
5974,0.33,0
2938,113.58,0
2022,94.05,0
1373,45.92,0
801,5732.58,0
8835,257.18,0
1395,98.58,0
2185,64.43,0
2629,1.55,0
11504,0.45,0
666,2.83,0
1456,0.4,0
3985,0.12,0
142411,22.17,0
143992,2.3,0
145091,509.28,0
146021,0.8,0
146224,44.45,0
146397,0.87,0
146908,37.63,0
147045,109.18,0
147062,0.22,0
147087,872.43,0
4801,1.4,0
70008,33.35,0
146891,80.82,0
147197,15.32,0
147604,461.22,0
44291,24.58,0
147732,0.07,0
3366,0.57,0
147643,6.28,0
148089,1.73,0
148786,0.38,0
149218,9.18,0
156291,0.5,0
155712,65.87,0
6313,4.27,0
59292,2.93,0
4016,236.62,0
164227,5.55,0
250078,3.67,0
78808,41.72,0
196947,0.08,0
252262,4.92,0
246177,193.32,0
255191,27.28,0
198538,123.88,0
198947,0.5,0
172596,1.97,0
250989,1.38,0
256386,149.58,0
258374,7.58,0
190161,0.07,0
259011,621.98,0
258971,0.3,0
247723,7.98,0
173939,28.2,0
240216,2.38,0
177810,25.93,0
248700,53.65,0
264699,79.12,0
264361,2.08,0
268701,2.88,0
